domain,MX_found,SPF,SPF_valid,SPF_secure,DMARC,DMARC_valid,DMARC_secure,DKIM,DKIM_selector,DKIM_valid,DNSSEC_signed
a2000.gov.br,False,,False,False,,False,False,,,False,False
abc.gov.br,True,v=spf1 ip4:189.85.94.91/32 ip4:189.9.52.91/32 ip4:201.36.109.91/32 ip4:189.23.119.121/32 ip4:189.85.94.121/32 ip4:189.9.52.175/32 ip4:201.36.109.175/32 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=none; ruf=mailto:lista.dmarc@itamaraty.gov.br,True,False,,,False,False
abcd.gov.br,True,v=spf1 include:spf.protection.outlook.com  ip4:200.198.205.29 ip4:200.198.205.30 ip4:200.198.205.23 -all,True,True,v=DMARC1; p=reject; rua=mailto:equipewindows@cidadania.gov.br; fo=0; adkim=r; aspf=s; pct=100; rf=afrf; ri=86400; sp=reject,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDGNPW4sEVjqrWmrzwVrwuSgPOwF58hdME0cnDgjHGtaI4NrJN4UoDAVxM82ZUIfllmH/UMBgx3mJUwf9InrIsRRHKoqXUAr1IACwCB7waYexGv2vyDZ/T70GjajAWcU18ZfgPm+9wen4Lf97W01PqWxWGHBBIzY3Adxkb0RHQf2QIDAQAB;,selector1,True,False
abcnaidadecerta.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,,False,False,,,False,True
abgf.gov.br,True,v=spf1 ip4:186.193.14.2 ip4:177.69.109.65 include:spf.protection.outlook.com include:mxsspf.sendpulse.com ~all,True,True,"v=DMARC1; p=reject; rua=mailto:96b6f51e9d57409cb3cd7f4b570f1718@dmarc-reports.cloudflare.net, mailto:getec@abgf.gov.br; ruf=mailto:getec@abgf.gov.br;",True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAw0IaMTWzV1QBnViUt4cwBMxh7FKzI8Kova2tduTjwSUA5AqzmwBKT96jDsgyq54ajO1fvoAYKHgluIk0gY+en8icPabmvl0A09D2r2FNPUw/JhywV5tsb/1zP+Ip8l0jz1IaXNpAjtlchHOB8hS8OssNbldISwyGgm36jY/iq4/9sMmHE9EHBgC2u7N990Df9"" ""L7T2TQIMfzYi0vo5FOmSvQTtTKNmE35z+aEK4tui4u+GA6F/M25KCHKloJpIMMH4NKeeEz8281gZglYU533i8HT3XEbyCJQtXfaftZXUVIIf60nZQc+7LJUOmLsixVkHqr40FALqpXgWuJhv2OvOQIDAQAB;",selector1,True,False
abin.gov.br,True,v=spf1 ip4:200.198.220.0/27 ip4:200.199.203.128/26 ip4:200.199.198.224/27 -all,True,True,v=DMARC1; p=quarantine; rua=mailto:suporte@abin.gov.br,True,True,"v=DKIM1; h=sha256; k=rsa; "" ""p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwMOWkSuz74UMI39V4AKVq24uWaB3UH9iM5MPyM+Yn9sN6flII17YqxaZcld9b9drdk3CHW021flNkPi/wMJijntlVPsVlfGPcaQJpcbgxRlg+Pw76vTri+L1HVcenvffysl7ShovLdptN/4l19PN6581/+41x6XLwwAUEZqFhDyQPFLz8+4TAjq4z9nJExqO3ZWJPE8z9rb0tV"" ""DDBsZjJj2Ooojg5l3li/gUoMxTOIMIe8R0G9FWD116nwabPlXuHY/Cby2FG41arM7gfOIbhLT7TVkLHcjSb/5Alq5MML+G98xUr+N+MGPbdOJZPwBeSu0qvx0nSXV3H6c8g8HVGQIDAQAB",default,True,True
abrasil.gov.br,True,,False,False,,False,False,,,False,False
ac-jus.gov.br,False,,False,False,,False,False,,,False,False
ac.gov.br,True,v=spf1 ip4:187.110.154.123 a mx -all,True,True,v=DMARC1; p=reject; rua=mailto:dmarc@ac.gov.br; ruf=mailto:dmarc@ac.gov.br; sp=reject; adkim=s; aspf=s;rf=afrf; pct=100; ri=86400,True,True,,,False,False
acesso.gov.br,False,,False,False,,False,False,,,False,False
acessoainformacao.gov.br,False,,False,False,,False,False,,,False,False
acessoinformacao.gov.br,False,,False,False,,False,False,,,False,False
acjus.gov.br,False,,False,False,,False,False,,,False,False
acraiz.gov.br,True,v=spf1 mx ~all,True,True,v=DMARC1; p=reject; rua=mailto:ticket@acraiz.gov.br; fo=1,True,True,"v=DKIM1; h=sha256; k=rsa; "" ""p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv7HGQv4dKQV48brQw5Sv3j8D83XYFKAV34gFPBiPTR+x1NuUNNZL5d+45DDnfTn7AsvcJBsp/n5aVuorDBm+0O8HLSubemhoCNdq3LkSifjFj4WXO6i+qb3Qt8jQwJIZNdyGlxiQPHVrNS79MBcJIzRACqsTTjPCAmFOHPP8ZNNw0Ucu/s4vXlODAFH45L7+CcX2bnNsX+tQmx"" ""guZne11Fb/C2qf/2zq0hL17c7rEDS6G26/Ev4StsCr/jlXdYsFoB+gYs8laxH+x2FeIo+HFcbXT751AQhWNwwvImJzbIaob5AYhgOt5pI3JvjV92YEYBOci4EwQSnVBg76nCHveQIDAQAB",dkim,True,True
acre.gov.br,False,,False,False,,False,False,,,False,False
acs.gov.br,False,,False,False,,False,False,,,False,False
aeb.gov.br,True,v=spf1 ip4:200.130.146.38 include:_netblocks.google.com include:_netblocks2.google.com include:_netblocks3.google.com include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=quarantine; fo=0; adkim=s; aspf=s; pct=100; rf=afrf; ri=86400; rua=mailto:e436561f68de4344b6869a94454df1c4@dmarc-reports.cloudflare.net;,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuoKwMfWThlOUff2PH6mJkhnDBnjaRDFXaHV59++pNIw+CEtrUphhZmIe1XcvMKl0w30tM+6BjXKBxj1EFxS4VKdMHamrrA7VEjtsYE2m//2NIqoZKiE0Qb4vZakQtm066DYrHTqa0uw1/C/MqFiNxoh0RKPYpu0uNR7cMicLOn+YSyarul7+vnMsCpjHr7EJI"" ""JaPVxgIuQfcUBiRrg79JjvKFOE+gX9Np1CP8BYCPIoUW6YAFtExPK4/skESdSiDPWP6DvRXKsQHpUnLpkJ5mfVrA2HEO7UzFCejgQDA1Asd/XRGijTjBuQkixNt3m4ikPHHbK11xb9nWfcLgP5hdQIDAQAB;",selector1,True,True
aerofacil.gov.br,False,,False,False,,False,False,,,False,False
aeroportodebrasilia.gov.br,False,,False,False,,False,False,,,False,False
aeroportodesalvador.gov.br,False,,False,False,,False,False,,,False,False
aeroportoindustria.gov.br,False,,False,False,,False,False,,,False,False
aeroportoindustrial.gov.br,False,,False,False,,False,False,,,False,False
aeroshopping.gov.br,True,,False,False,,False,False,,,False,False
agenciabrasil.gov.br,True,v=spf1 a mx ptr ip4:201.57.198.47/32 -all,True,True,,False,False,,,False,False
agenciacamara.gov.br,False,,False,False,,False,False,,,False,False
agespacial.gov.br,False,,False,False,,False,False,,,False,False
