post_title,country,website,group_name,activity,activity_classified,used_fallback,published,discovered,screenshot,post_url
eds-automotive.de,DE,eds-automotive.de,lockbit,Not Found,Not Found,,2023-01-01 08:56:31.106810,2023-01-01 08:56:31.106810,,
CDER,FR,cder.fr,play,Not Found,Not Found,,2023-01-01 20:19:37.848716,2023-01-01 20:19:37.848716,,
S???,,s???,play,Not Found,Not Found,,2023-01-02 02:35:48.764809,2023-01-02 02:35:48.764809,,
Stratacache,US,stratacache.com,play,Not Found,Not Found,,2023-01-02 23:15:23.103405,2023-01-02 23:15:23.103405,,
Furetank,SE,furetank.se,play,Not Found,Not Found,,2023-01-03 13:40:58.906577,2023-01-03 13:40:58.906577,,
SUNY Polytechnic Institute,,suny polytechnic institute,play,Not Found,Not Found,,2023-01-03 17:25:40.399394,2023-01-03 17:25:40.399394,,
Sirius Shipping,,sirius shipping,play,Not Found,Not Found,,2023-01-03 17:26:50.935224,2023-01-03 17:26:50.935224,,
"Aeronautics company Canada | UTC Aerospace Systems, Bombardier, NASA partners",,"aeronautics company canada | utc aerospace systems, bombardier, nasa partners",everest,Not Found,Not Found,,2023-01-03 19:22:36.383163,2023-01-03 19:22:36.383163,,
Tarntank Ship Management,,tarntank ship management,play,Not Found,Not Found,,2023-01-03 23:15:59.591180,2023-01-03 23:15:59.591180,,
CAPMC,,maderacap.org,blackbyte,Not Found,Not Found,,2023-01-04 17:27:51.543789,2023-01-04 17:27:51.543789,,
UNISALLE.EDU.CO,CO,lasalle.edu.co,clop,Not Found,Not Found,,2023-01-04 23:09:22.380941,2023-01-04 23:09:22.380941,https://images.ransomware.live/screenshots/posts/8638825f86b7aa0ab479ec9ae3b63e44.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/unisalle-edu-co
CGMLLC.NET,,cgmllc.net,clop,Not Found,Not Found,,2023-01-05 02:35:28.263636,2023-01-05 02:35:28.263636,https://images.ransomware.live/screenshots/posts/f5b067396ec8b9586bb0546f49e2e12f.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/cgmllc-net
DSBJ DATA LEAK,TW,dsbj.com,royal,Not Found,Not Found,,2023-01-05 05:18:19.155577,2023-01-05 05:18:19.155577,,
Kansas City Homes,,kansascityhomes.com,blackbyte,Not Found,Not Found,,2023-01-05 17:35:18.987426,2023-01-05 17:35:18.987426,,
Hayward,,hayward-pool.com,blackbyte,Not Found,Not Found,,2023-01-05 17:37:20.136247,2023-01-05 17:37:20.136247,,
Ellison Technologies,,ellisontechnologies.com,blackbyte,Not Found,Not Found,,2023-01-05 17:39:21.173381,2023-01-05 17:39:21.173381,,
Consulate Health Care,,consulatehc.com,hive,Not Found,Not Found,,2023-01-06 07:20:24.976844,2023-01-06 07:20:24.976844,,
LetMeRepair,,letmerepair.com,vicesociety,Not Found,Not Found,,2023-01-06 09:17:30.866352,2023-01-06 09:17:30.866352,,
Sub-drill Supply,,sub-drill.com,vicesociety,Not Found,Not Found,,2023-01-06 09:19:26.021360,2023-01-06 09:19:26.021360,,
PROQUINAL Spradling Group,,proquinal.com,vicesociety,Not Found,Not Found,,2023-01-06 09:19:26.407711,2023-01-06 09:19:26.407711,,
Bevolution Group,US,bevolutiongroup.com,royal,Not Found,Not Found,,2023-01-06 11:18:48.168101,2023-01-06 11:18:48.168101,,
LEK / HABO,NL,lekhabo.nl,royal,Not Found,Not Found,,2023-01-06 17:25:55.768637,2023-01-06 17:25:55.768637,,
City Lit,GB,citylit.ac.uk,vicesociety,Not Found,Not Found,,2023-01-06 21:18:26.293246,2023-01-06 21:18:26.293246,,
Bay Area Rapid Transit,,bart.gov,vicesociety,Not Found,Not Found,,2023-01-06 21:20:23.160627,2023-01-06 21:20:23.160627,,
Park View,GB,parkview.haringey.sch.uk,vicesociety,Not Found,Not Found,,2023-01-06 21:20:23.492290,2023-01-06 21:20:23.492290,,
takamiya.co,CO,takamiya.co,lockbit,Not Found,Not Found,,2023-01-07 09:14:13.868146,2023-01-07 09:14:13.868146,,
juarez.gob.mx,MX,juarez.gob.mx,lockbit,Not Found,Not Found,,2023-01-07 11:56:52.220196,2023-01-07 11:56:52.220196,,
