cveID,dateAdded,vendorProject,product,cvss,epss,risk,exploit,ransomCampaign
CVE-2020-16017,2021-11-03,Google,Chrome,9.6,0.21415,Medium,No,Unknown
CVE-2021-31955,2021-11-03,Microsoft,Windows,5.5,0.04647,Medium,Yes,Unknown
CVE-2019-19781,2021-11-03,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",9.8,0.94442,Critical,Yes,Known
CVE-2019-8394,2021-11-03,Zoho,ManageEngine,7.5,0.87276,High,Yes,Unknown
CVE-2021-22900,2021-11-03,Ivanti,Pulse Connect Secure,7.2,0.01642,Medium,No,Unknown
CVE-2021-30869,2021-11-03,Apple,"iOS, iPadOS, and macOS",7.8,0.01997,Medium,No,Unknown
CVE-2018-13379,2021-11-03,Fortinet,FortiOS,9.1,0.94475,Critical,Yes,Known
CVE-2020-1472,2021-11-03,Microsoft,Netlogon,5.5,0.9438,High,Yes,Known
CVE-2021-31201,2021-11-03,Microsoft,Enhanced Cryptographic Provider,5.2,0.01537,Medium,No,Unknown
CVE-2021-30116,2021-11-03,Kaseya,Virtual System/Server Administrator (VSA),10.0,0.4984,Medium,No,Known
CVE-2017-9805,2021-11-03,Apache,Struts,8.1,0.94322,High,Yes,Unknown
CVE-2012-3152,2021-11-03,Oracle,Fusion Middleware,9.1,0.93535,Critical,Yes,Unknown
CVE-2020-10987,2021-11-03,Tenda,AC1900 Router AC15 Model,9.8,0.93625,Critical,Yes,Unknown
CVE-2019-17558,2021-11-03,Apache,Solr,7.5,0.94474,High,Yes,Unknown
CVE-2020-10181,2021-11-03,Sumavision,Enhanced Multimedia Router (EMR),9.8,0.20551,Medium,No,Unknown
CVE-2019-3398,2021-11-03,Atlassian,Confluence Server and Data Center,8.8,0.93863,High,Yes,Unknown
CVE-2020-27950,2021-11-03,Apple,Multiple Products,5.5,0.46919,Medium,Yes,Unknown
CVE-2018-4878,2021-11-03,Adobe,Flash Player,9.8,0.93434,Critical,Yes,Known
CVE-2020-8260,2021-11-03,Ivanti,Pulse Connect Secure,7.2,0.75303,High,No,Unknown
CVE-2021-22205,2021-11-03,GitLab,Community and Enterprise Editions,10.0,0.94467,Critical,Yes,Unknown
CVE-2021-22506,2021-11-03,Micro Focus,Micro Focus Access Manager,7.5,0.10545,Medium,No,Unknown
CVE-2020-11738,2021-11-03,WordPress,Snap Creek Duplicator Plugin,7.5,0.94278,High,Yes,Unknown
CVE-2020-3118,2021-11-03,Cisco,IOS XR,8.8,0.00294,Medium,No,Unknown
CVE-2021-36741,2021-11-03,Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",8.8,0.00582,Medium,No,Unknown
CVE-2021-30666,2021-11-03,Apple,iOS,8.8,0.01497,Medium,No,Unknown
CVE-2020-29557,2021-11-03,D-Link,DIR-825 R1 Devices,9.8,0.89773,High,No,Unknown
CVE-2021-1871,2021-11-03,Apple,"iOS, iPadOS, and macOS",9.8,0.00855,Medium,No,Unknown
CVE-2021-37976,2021-11-03,Google,Chromium,6.5,0.08331,Medium,No,Unknown
CVE-2019-9978,2021-11-03,WordPress,Social Warfare Plugin,6.1,0.87475,High,Yes,Unknown
CVE-2021-22899,2021-11-03,Ivanti,Pulse Connect Secure,8.8,0.37999,Medium,No,Unknown
CVE-2020-15999,2021-11-03,Google,Chrome FreeType,9.6,0.92905,Critical,Yes,Unknown
CVE-2020-4006,2021-11-03,VMware,Multiple Products,9.1,0.11672,Medium,No,Unknown
CVE-2019-0808,2021-11-03,Microsoft,Win32k,7.8,0.74238,High,Yes,Unknown
CVE-2017-5638,2021-11-03,Apache,Struts,9.8,0.94267,Critical,Yes,Known
CVE-2021-28663,2021-11-03,Arm,Mali Graphics Processing Unit (GPU),8.8,0.02417,Medium,Yes,Unknown
CVE-2020-3569,2021-11-03,Cisco,IOS XR,8.6,0.16091,Medium,No,Unknown
CVE-2020-4430,2021-11-03,IBM,Data Risk Manager,4.3,0.84293,Medium,No,Unknown
CVE-2020-0683,2021-11-03,Microsoft,Windows,7.8,0.32732,Medium,Yes,Unknown
CVE-2020-8599,2021-11-03,Trend Micro,Apex One and OfficeScan,9.8,0.5786,High,No,Unknown
CVE-2021-20023,2021-11-03,SonicWall,SonicWall Email Security,4.9,0.4268,Low,No,Known
CVE-2020-1464,2021-11-03,Microsoft,Windows,7.8,0.11407,Medium,Yes,Unknown
CVE-2021-26084,2021-11-03,Atlassian,Confluence Server and Data Center,9.8,0.9444,Critical,Yes,Known
CVE-2021-23874,2021-11-03,McAfee,McAfee Total Protection (MTP),8.2,0.00853,Medium,No,Unknown
CVE-2020-7961,2021-11-03,Liferay,Liferay Portal,9.8,0.94352,Critical,Yes,Unknown
CVE-2016-3643,2021-11-03,SolarWinds,Virtualization Manager,7.8,0.05418,Medium,Yes,Unknown
CVE-2016-3976,2021-11-03,SAP,NetWeaver,7.5,0.81466,High,Yes,Unknown
CVE-2020-11651,2021-11-03,SaltStack,Salt,9.8,0.94421,Critical,Yes,Unknown
CVE-2020-6287,2021-11-03,SAP,NetWeaver,10.0,0.94395,Critical,Yes,Unknown
CVE-2020-17087,2021-11-03,Microsoft,Windows,7.8,0.17833,Medium,Yes,Unknown
CVE-2016-0167,2021-11-03,Microsoft,Win32k,7.8,0.07346,Medium,No,Known
CVE-2021-35464,2021-11-03,ForgeRock,Access Management (AM),9.8,0.94386,Critical,Yes,Known
CVE-2021-22894,2021-11-03,Ivanti,Pulse Connect Secure,8.8,0.5062,High,No,Unknown
CVE-2021-31199,2021-11-03,Microsoft,Enhanced Cryptographic Provider,5.2,0.00981,Medium,No,Unknown
CVE-2020-4427,2021-11-03,IBM,Data Risk Manager,9.8,0.90345,Critical,No,Unknown
CVE-2021-27104,2021-11-03,Accellion,FTA,9.8,0.02442,Medium,No,Known
CVE-2018-6789,2021-11-03,Exim,Exim,9.8,0.86439,High,Yes,Known
CVE-2021-38003,2021-11-03,Google,Chromium V8,8.8,0.74804,High,Yes,Unknown
CVE-2019-0863,2021-11-03,Microsoft,Windows,7.8,0.07271,Medium,Yes,Unknown
CVE-2019-16256,2021-11-03,SIMalliance,Toolbox Browser,9.8,0.61187,High,No,Unknown
CVE-2021-38649,2021-11-03,Microsoft,Open Management Infrastructure (OMI),7.0,0.06512,Medium,No,Unknown
CVE-2018-0296,2021-11-03,Cisco,Adaptive Security Appliance (ASA),7.5,0.94404,High,Yes,Unknown
CVE-2021-37975,2021-11-03,Google,Chromium V8,8.8,0.62947,High,Yes,Unknown
CVE-2021-20016,2021-11-03,SonicWall,SSLVPN SMA100,9.8,0.79818,High,No,Known
CVE-2020-1040,2021-11-03,Microsoft,Hyper-V RemoteFX,9.0,0.00178,Medium,No,Unknown
CVE-2020-27930,2021-11-03,Apple,Multiple Products,7.8,0.47173,Medium,Yes,Unknown
CVE-2021-30761,2021-11-03,Apple,iOS,8.8,0.0037,Medium,No,Unknown
